session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
o4cfc4sd,1,giaw6638,1,instructions,Splash,1624627564,1,1,0
o4cfc4sd,2,ty10jr1q,1,instructions,Splash,1624627565,1,1,0
o4cfc4sd,3,yrmtcn62,1,instructions,Splash,1624627565,1,1,0
o4cfc4sd,4,duxn23dk,1,instructions,Splash,1624627565,1,1,0
o4cfc4sd,5,jry264g2,1,instructions,Splash,1624627565,1,1,0
o4cfc4sd,1,giaw6638,2,instructions,Welcome,1624627612,1,1,0
o4cfc4sd,2,ty10jr1q,2,instructions,Welcome,1624627612,1,1,0
o4cfc4sd,3,yrmtcn62,2,instructions,Welcome,1624627612,1,1,0
o4cfc4sd,4,duxn23dk,2,instructions,Welcome,1624627612,1,1,0
o4cfc4sd,5,jry264g2,2,instructions,Welcome,1624627612,1,1,0
o4cfc4sd,1,giaw6638,3,instructions,Introduction,1624627704,1,1,0
o4cfc4sd,2,ty10jr1q,3,instructions,Introduction,1624627704,1,1,0
o4cfc4sd,3,yrmtcn62,3,instructions,Introduction,1624627705,1,1,0
o4cfc4sd,4,duxn23dk,3,instructions,Introduction,1624627705,1,1,0
o4cfc4sd,5,jry264g2,3,instructions,Introduction,1624627705,1,1,0
o4cfc4sd,1,giaw6638,4,instructions,OptionComprehension1,1624627711,1,0,0
o4cfc4sd,1,giaw6638,5,instructions,OptionComprehension2,1624627715,1,0,0
o4cfc4sd,3,yrmtcn62,4,instructions,OptionComprehension1,1624627718,1,0,0
o4cfc4sd,1,giaw6638,6,instructions,OptionComprehension3,1624627723,1,0,0
o4cfc4sd,3,yrmtcn62,5,instructions,OptionComprehension2,1624627724,1,0,0
o4cfc4sd,2,ty10jr1q,4,instructions,OptionComprehension1,1624627724,1,0,0
o4cfc4sd,2,ty10jr1q,5,instructions,OptionComprehension2,1624627730,1,0,0
o4cfc4sd,1,giaw6638,7,instructions,OptionComprehension4,1624627733,1,0,0
o4cfc4sd,3,yrmtcn62,6,instructions,OptionComprehension3,1624627733,1,0,0
o4cfc4sd,3,yrmtcn62,7,instructions,OptionComprehension4,1624627746,1,0,0
o4cfc4sd,2,ty10jr1q,6,instructions,OptionComprehension3,1624627755,1,0,0
o4cfc4sd,2,ty10jr1q,7,instructions,OptionComprehension4,1624627789,1,0,0
o4cfc4sd,4,duxn23dk,4,instructions,OptionComprehension1,1624627825,1,0,0
o4cfc4sd,4,duxn23dk,5,instructions,OptionComprehension2,1624627834,1,0,0
o4cfc4sd,4,duxn23dk,6,instructions,OptionComprehension3,1624627864,1,0,0
o4cfc4sd,4,duxn23dk,7,instructions,OptionComprehension4,1624627912,1,0,0
o4cfc4sd,5,jry264g2,4,instructions,OptionComprehension1,1624627922,1,1,0
o4cfc4sd,5,jry264g2,5,instructions,OptionComprehension2,1624627925,1,1,0
o4cfc4sd,5,jry264g2,6,instructions,OptionComprehension3,1624627931,1,1,0
o4cfc4sd,5,jry264g2,7,instructions,OptionComprehension4,1624627935,1,1,0
o4cfc4sd,1,giaw6638,8,instructions,DecisionRounds,1624627968,1,1,0
o4cfc4sd,2,ty10jr1q,8,instructions,DecisionRounds,1624627968,1,1,0
o4cfc4sd,3,yrmtcn62,8,instructions,DecisionRounds,1624627968,1,1,0
o4cfc4sd,4,duxn23dk,8,instructions,DecisionRounds,1624627968,1,1,0
o4cfc4sd,5,jry264g2,8,instructions,DecisionRounds,1624627968,1,1,0
o4cfc4sd,3,yrmtcn62,9,instructions,ChoosingOption,1624627976,1,0,0
o4cfc4sd,2,ty10jr1q,9,instructions,ChoosingOption,1624627977,1,0,0
o4cfc4sd,1,giaw6638,9,instructions,ChoosingOption,1624627983,1,0,0
o4cfc4sd,4,duxn23dk,9,instructions,ChoosingOption,1624628012,1,0,0
o4cfc4sd,5,jry264g2,9,instructions,ChoosingOption,1624628024,1,1,0
o4cfc4sd,1,giaw6638,10,instructions,DeterminingEarnings,1624628072,1,1,0
o4cfc4sd,2,ty10jr1q,10,instructions,DeterminingEarnings,1624628072,1,1,0
o4cfc4sd,3,yrmtcn62,10,instructions,DeterminingEarnings,1624628072,1,1,0
o4cfc4sd,4,duxn23dk,10,instructions,DeterminingEarnings,1624628073,1,1,0
o4cfc4sd,5,jry264g2,10,instructions,DeterminingEarnings,1624628073,1,1,0
o4cfc4sd,1,giaw6638,11,instructions,GeneralComprehension1,1624628078,1,0,0
o4cfc4sd,2,ty10jr1q,11,instructions,GeneralComprehension1,1624628082,1,0,0
o4cfc4sd,1,giaw6638,12,instructions,GeneralComprehension2,1624628083,1,0,0
o4cfc4sd,3,yrmtcn62,11,instructions,GeneralComprehension1,1624628085,1,0,0
o4cfc4sd,2,ty10jr1q,12,instructions,GeneralComprehension2,1624628090,1,0,0
o4cfc4sd,3,yrmtcn62,12,instructions,GeneralComprehension2,1624628093,1,0,0
o4cfc4sd,4,duxn23dk,11,instructions,GeneralComprehension1,1624628096,1,0,0
o4cfc4sd,4,duxn23dk,12,instructions,GeneralComprehension2,1624628106,1,0,0
o4cfc4sd,5,jry264g2,11,instructions,GeneralComprehension1,1624628110,1,1,0
o4cfc4sd,5,jry264g2,12,instructions,GeneralComprehension2,1624628113,1,1,0
o4cfc4sd,1,giaw6638,13,instructions,Summary,1624628257,1,1,0
o4cfc4sd,2,ty10jr1q,13,instructions,Summary,1624628257,1,1,0
o4cfc4sd,3,yrmtcn62,13,instructions,Summary,1624628257,1,1,0
o4cfc4sd,4,duxn23dk,13,instructions,Summary,1624628257,1,1,0
o4cfc4sd,5,jry264g2,13,instructions,Summary,1624628257,1,1,0
o4cfc4sd,1,giaw6638,14,decisions,DecisionPage,1624628263,1,0,0
o4cfc4sd,1,giaw6638,15,decisions,DecisionPage,1624628267,2,0,0
o4cfc4sd,2,ty10jr1q,14,decisions,DecisionPage,1624628268,1,0,0
o4cfc4sd,1,giaw6638,16,decisions,DecisionPage,1624628271,3,0,0
o4cfc4sd,3,yrmtcn62,14,decisions,DecisionPage,1624628275,1,0,0
o4cfc4sd,1,giaw6638,17,decisions,DecisionPage,1624628275,4,0,0
o4cfc4sd,1,giaw6638,18,decisions,DecisionPage,1624628280,5,0,0
o4cfc4sd,2,ty10jr1q,15,decisions,DecisionPage,1624628280,2,0,0
