session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
sx6fgj9f,8,86v1yyo4,6,instructions,OptionComprehension3,1633944106,1,1,0
sx6fgj9f,9,l7ug7tze,6,instructions,OptionComprehension3,1633944106,1,1,0
sx6fgj9f,10,s2ooxzx9,6,instructions,OptionComprehension3,1633944106,1,1,0
sx6fgj9f,11,26jj6z5e,6,instructions,OptionComprehension3,1633944106,1,1,0
sx6fgj9f,12,w1t9pfzc,6,instructions,OptionComprehension3,1633944106,1,1,0
sx6fgj9f,1,lualaqid,7,instructions,OptionComprehension4,1633944154,1,0,0
sx6fgj9f,8,86v1yyo4,7,instructions,OptionComprehension4,1633944182,1,1,0
sx6fgj9f,9,l7ug7tze,7,instructions,OptionComprehension4,1633944182,1,1,0
sx6fgj9f,10,s2ooxzx9,7,instructions,OptionComprehension4,1633944182,1,1,0
sx6fgj9f,11,26jj6z5e,7,instructions,OptionComprehension4,1633944182,1,1,0
sx6fgj9f,12,w1t9pfzc,7,instructions,OptionComprehension4,1633944182,1,1,0
sx6fgj9f,1,lualaqid,8,instructions,AfterQuestions,1633944187,1,1,0
sx6fgj9f,2,icuf6r3i,8,instructions,AfterQuestions,1633944187,1,1,0
sx6fgj9f,3,6q4v8zwn,8,instructions,AfterQuestions,1633944187,1,1,0
sx6fgj9f,4,91o7t87s,8,instructions,AfterQuestions,1633944187,1,1,0
sx6fgj9f,5,tw6ofzo6,8,instructions,AfterQuestions,1633944187,1,1,0
sx6fgj9f,6,rz20kdvj,8,instructions,AfterQuestions,1633944187,1,1,0
sx6fgj9f,7,gz2c6vox,8,instructions,AfterQuestions,1633944187,1,1,0
sx6fgj9f,8,86v1yyo4,8,instructions,AfterQuestions,1633944187,1,1,0
sx6fgj9f,9,l7ug7tze,8,instructions,AfterQuestions,1633944187,1,1,0
sx6fgj9f,10,s2ooxzx9,8,instructions,AfterQuestions,1633944187,1,1,0
sx6fgj9f,11,26jj6z5e,8,instructions,AfterQuestions,1633944187,1,1,0
sx6fgj9f,12,w1t9pfzc,8,instructions,AfterQuestions,1633944187,1,1,0
sx6fgj9f,1,lualaqid,9,instructions,DecisionRounds,1633944240,1,1,0
sx6fgj9f,2,icuf6r3i,9,instructions,DecisionRounds,1633944240,1,1,0
sx6fgj9f,3,6q4v8zwn,9,instructions,DecisionRounds,1633944240,1,1,0
sx6fgj9f,4,91o7t87s,9,instructions,DecisionRounds,1633944240,1,1,0
sx6fgj9f,5,tw6ofzo6,9,instructions,DecisionRounds,1633944240,1,1,0
sx6fgj9f,6,rz20kdvj,9,instructions,DecisionRounds,1633944240,1,1,0
sx6fgj9f,7,gz2c6vox,9,instructions,DecisionRounds,1633944240,1,1,0
sx6fgj9f,8,86v1yyo4,9,instructions,DecisionRounds,1633944240,1,1,0
sx6fgj9f,9,l7ug7tze,9,instructions,DecisionRounds,1633944240,1,1,0
sx6fgj9f,10,s2ooxzx9,9,instructions,DecisionRounds,1633944240,1,1,0
sx6fgj9f,11,26jj6z5e,9,instructions,DecisionRounds,1633944241,1,1,0
sx6fgj9f,12,w1t9pfzc,9,instructions,DecisionRounds,1633944241,1,1,0
sx6fgj9f,4,91o7t87s,10,instructions,ChoosingOption,1633944274,1,0,0
sx6fgj9f,3,6q4v8zwn,10,instructions,ChoosingOption,1633944288,1,0,0
sx6fgj9f,7,gz2c6vox,10,instructions,ChoosingOption,1633944291,1,0,0
sx6fgj9f,5,tw6ofzo6,10,instructions,ChoosingOption,1633944294,1,0,0
sx6fgj9f,6,rz20kdvj,10,instructions,ChoosingOption,1633944295,1,0,0
sx6fgj9f,2,icuf6r3i,10,instructions,ChoosingOption,1633944297,1,0,0
sx6fgj9f,1,lualaqid,10,instructions,ChoosingOption,1633944301,1,0,0
sx6fgj9f,8,86v1yyo4,10,instructions,ChoosingOption,1633944345,1,1,0
sx6fgj9f,9,l7ug7tze,10,instructions,ChoosingOption,1633944345,1,1,0
sx6fgj9f,10,s2ooxzx9,10,instructions,ChoosingOption,1633944345,1,1,0
sx6fgj9f,11,26jj6z5e,10,instructions,ChoosingOption,1633944345,1,1,0
